"Filiere","Université","Etablissement","Gouvernorat","Critères","Durée des Etudes","S.D. Orionté 2025","S.D. Orionté 2024","Conditions","Spécialités"
"l en education et enseignement","universite de gabes","institut supérieur des sciences humaines de médenine","Mednine","FG+(AR+FR)/2","03 ans",126.115,117.825,"âge limite","Education Et Enseignement"
"l en anthropologie","universite de gabes","institut supérieur des arts et métiers de tataouine","Tataouine","FG+(HG+PH)/2","03 ans",95.6119,94.9463,"aucune","Anthropologie Sociale Et Culturelle"
"l en arts plastiques","universite de gabes","institut supérieur des arts et métiers de tataouine","Tataouine","FG+PH","03 ans",80.1183,86.3829,"aucune","Peinture / Photographie"
"l en design espace","universite de gabes","institut supérieur des arts et métiers de tataouine","Tataouine","FG+PH","03 ans",119.3318,120.145,"aucune","Architecture D'intérieur"
"l en design image","universite de gabes","institut supérieur des arts et métiers de tataouine","Tataouine","FG+PH","03 ans",106.5025,103.4048,"aucune","Publicité Audiovisuelle / Publicité Graphique"
"l en education et enseignement","universite de gabes","institut supérieur des arts et métiers de tataouine","Tataouine","FG+(AR+FR)/2","03 ans",124.91,115.59,"âge limite","Education Et Enseignement"
"l en sciences infirmieres","universite de gabes","institut supérieur des sciences infirmières de gabès","Gabes","FG+SVT","03 ans",139.298,163.6512,"svt et sport obligatoires, sexe féminin","Sciences Infirmières"
"l en sciences infirmieres","universite de gabes","institut supérieur des sciences infirmières de gabès","Gabes","FG+SVT","03 ans",136.9065,141.9783,"svt et sport obligatoires, sexe masculin","Sciences Infirmières"
"médecine","universite de monastir","faculté de médecine de monastir","Monastir","FG+SVT","09 ans",164.46,174.815,"svt obligatoire","Médecine"
"médecine dentaire","universite de monastir","faculté de médecine dentaire de monastir","Monastir","FG+SVT","06 ans",162.35,182.91,"svt obligatoire","Médecine Dentaire"
"pharmacie","universite de monastir","faculté de pharmacie de monastir","Monastir","FG+SVT","06 ans",138.955,167.305,"svt obligatoire","Pharmacie"
"l en santé: physiothérapie","universite de monastir","ecole supérieure des sciences et techniques de la santé de monastir","Monastir","FG+SVT","03 ans",147.5316,163.8759,"svt et sport obligatoires","Physiothérapie"
"l en prothèse dentaire","universite de monastir","ecole supérieure des sciences et techniques de la santé de monastir","Monastir","FG+SVT","03 ans",137.67,144.32,"svt obligatoire","Prothèse Dentaire"
"l en sciences maïeutiques - sage femme","universite de monastir","ecole supérieure des sciences et techniques de la santé de monastir","Monastir","FG+SVT","03 ans",136.6283,159.3498,"svt obligatoire, sexe féminin","Science Maïeutique / Sage-Femme"
"l en anglais","universite de monastir","institut supérieur des langues de moknine","Monastir","FG+ANG","03 ans",90.1783,106.4198,"aucune","Langue, Lettres Et Civilisation"
"l en français","universite de monastir","institut supérieur des langues de moknine","Monastir","FG+F","03 ans",70.9,71.1284,"aucune","Langue, Lettres Et Civilisation"
"l en espagnol","universite de monastir","institut supérieur des langues de moknine","Monastir","FG+ESP","03 ans",92.8066,112.9279,"langue obligatoire : espagnol","Langue, Lettres Et Civilisation"
"l en italien","universite de monastir","institut supérieur des langues de moknine","Monastir","FG+IT","03 ans",106.7075,106.9038,"langue obligatoire : italien","Langue, Lettres Et Civilisation"
"l en allemand","universite de monastir","institut supérieur des langues de moknine","Monastir","FG+ALL","03 ans",89.6609,97.6232,"langue obligatoire : allemand","Langue, Lettres Et Civilisation"
"l en traduction","universite de monastir","institut supérieur des langues de moknine","Monastir","FG+(AR+ANG+F)/3","03 ans",103.3383,108.815,"aucune","Anglais"
"l en education et enseignement","universite de monastir","institut supérieur des etudes appliquées en humanités de mahdia","Mahdia","FG+(AR+FR)/2","03 ans",138.32,129.665,"âge limite","Education Et Enseignement"
"l en design produit","universite de monastir","institut supérieur de la mode de monastir","Monastir","FG+PH","03 ans",116.1271,119.805,"aucune","Textile / Stylisme Modelisme / Accessoires De La Mode"
"l en design espace","universite de monastir","institut supérieur des arts et métiers de mahdia","Mahdia","FG+PH","03 ans",117.68,128.055,"aucune","Architecture D'intérieur / Scénographie"
"l en design produit","universite de monastir","institut supérieur des arts et métiers de mahdia","Mahdia","FG+PH","03 ans",105.6786,116.9954,"aucune","Bijoux / Création Industrielle"
"l en design image","universite de monastir","institut supérieur des arts et métiers de mahdia","Mahdia","FG+PH","03 ans",114.355,112.4303,"aucune","Publicité Graphique"
"l en arabe","universite de kairouan","faculté des lettres et des sciences humaines de kairouan","Kairouan","FG+AR","03 ans",90.383,84.5799,"aucune","Langue, Lettres Et Civilisation"
"l en anglais","universite de kairouan","faculté des lettres et des sciences humaines de kairouan","Kairouan","FG+ANG","03 ans",70.1802,71.7801,"aucune","Langue, Lettres Et Civilisation"
"l en français","universite de kairouan","faculté des lettres et des sciences humaines de kairouan","Kairouan","FG+F","03 ans",74.2758,76.098,"aucune","Langue, Lettres Et Civilisation"
"l en philosophie","universite de kairouan","faculté des lettres et des sciences humaines de kairouan","Kairouan","FG+PH","03 ans",84.7332,76.5119,"aucune","Philosophie"
"l en traduction","universite de kairouan","faculté des lettres et des sciences humaines de kairouan","Kairouan","FG+(AR+ANG+F)/3","03 ans",77.262,73.6203,"aucune","Anglais"
"l en archéologie","universite de kairouan","faculté des lettres et des sciences humaines de kairouan","Kairouan","FG+(F+HG)/2","03 ans",82.7702,82.5525,"aucune","Archéologie"
"l en arts plastiques","universite de kairouan","institut supérieur des arts et métiers de kairouan","Kairouan","FG+PH","03 ans",75.8231,80.5633,"aucune","Tissage / Céramique"
"l en design espace","universite de kairouan","institut supérieur des arts et métiers de kairouan","Kairouan","FG+PH","03 ans",111.9595,111.0874,"aucune","Architecture D'intérieur"
"l en design produit","universite de kairouan","institut supérieur des arts et métiers de kairouan","Kairouan","FG+PH","03 ans",99.735,95.4368,"aucune","Bijoux / Création Industrielle / Création Artisanale"
"l en design image","universite de kairouan","institut supérieur des arts et métiers de kairouan","Kairouan","FG+PH","03 ans",99.5734,102.515,"aucune","Publicité Audiovisuelle"
"l en droit","universite de kairouan","institut supérieur des sciences juridiques et politiques de kairouan","Kairouan","FG+(AR+FR)/2","03 ans",100.865,100.2305,"aucune","Droit Public / Droit Privé"
"l en arts plastiques","universite de kairouan","institut supérieur des arts et métiers de kasserine","Kasserine","FG+PH","03 ans",87.2017,104.202,"aucune","Céramique"
"l en design espace","universite de kairouan","institut supérieur des arts et métiers de kasserine","Kasserine","FG+PH","03 ans",117.5449,129.1169,"aucune","Architecture D'intérieur"
"l en design produit","universite de kairouan","institut supérieur des arts et métiers de kasserine","Kasserine","FG+PH","03 ans",104.202,91.0716,"aucune","Création Industrielle / Création Artisanale"
"l en anglais","universite de kairouan","institut supérieur des etudes appliquées en humanités de sbeïtla","Kasserine","FG+ANG","03 ans",72.11,74.1383,"aucune","Anglais Des Affaires"
"l en animation touristique","universite de kairouan","institut supérieur des etudes appliquées en humanités de sbeïtla","Kasserine","FG+(F+ANG+SPT)/3","03 ans",101.5575,100.3617,"sport obligatoire","Animation Touristique"
"l en education et enseignement","universite de kairouan","institut supérieur des etudes appliquées en humanités de sbeïtla","Kasserine","FG+(AR+FR)/2","03 ans",126.665,117.21,"âge limite","Education Et Enseignement"
"l en arts plastiques","universite de kairouan","institut supérieur des arts et métiers de sidibouzid","Sidi Bouzid","FG+PH","03 ans",95.0283,73.2567,"aucune","Céramique"
"l en design espace","universite de kairouan","institut supérieur des arts et métiers de sidibouzid","Sidi Bouzid","FG+PH","03 ans",118.135,101.955,"aucune","Architecture D'intérieur"
"l en design produit","universite de kairouan","institut supérieur des arts et métiers de sidibouzid","Sidi Bouzid","FG+PH","03 ans",116.6782,83.3451,"aucune","Mobilier / Création Industrielle"
"l en design image","universite de kairouan","institut supérieur des arts et métiers de sidibouzid","Sidi Bouzid","FG+PH","03 ans",113.3398,83.0086,"aucune","Publicité Graphique"
"l en techniques agroalimentaires et envir.","universite de kairouan","faculté des sciences et technique de sidi bouzid","Sidi Bouzid","FG+SVT","03 ans",99.1934,85.185,"svt obligatoire","Industrie Agroalimentaire Et Impacts Environnementaux"
"l en arabe","universite de gafsa","institut supérieur des etudes appliquées en humanités à gafsa","Gafsa","FG+AR","03 ans",96.5177,89.1117,"aucune","Langue, Lettres Et Civilisation"
"l en anglais","universite de gafsa","institut supérieur des etudes appliquées en humanités à gafsa","Gafsa","FG+ANG","03 ans",74.0585,76.6386,"aucune","Langue, Lettres Et Civilisation"
"l en français","universite de gafsa","institut supérieur des etudes appliquées en humanités à gafsa","Gafsa","FG+F","03 ans",79.132,69.9468,"aucune","Langue, Lettres Et Civilisation"
"l en sociologie","universite de gafsa","institut supérieur des etudes appliquées en humanités à gafsa","Gafsa","FG+(HG+PH)/2","03 ans",108.2519,100.3446,"aucune","Langue, Lettres Et Civilisation"
"l en musique et musicologie","universite de gafsa","institut supérieur des arts et métiers de gafsa","Gafsa","FG+PH","03 ans",99.8024,84.6014,"aucune","Musique Et Musicologie"
"l en design espace","universite de gafsa","institut supérieur des arts et métiers de gafsa","Gafsa","FG+PH","03 ans",115.7312,112.59,"aucune","Architecture D'intérieur"
"l en design produit","universite de gafsa","institut supérieur des arts et métiers de gafsa","Gafsa","FG+PH","03 ans",107.665,97.2852,"aucune","Mobilier / Création Artisanale"
"l en design image","universite de gafsa","institut supérieur des arts et métiers de gafsa","Gafsa","FG+PH","03 ans",108.145,104.5087,"aucune","Publicité Graphique"
"l en sciences physiques et sportives","universite de gafsa","institut supérieur des sports et de l’éducation physique de gafsa","Gafsa","FG+SPT","03 ans",138.7469,144.2628,"sport obligatoire >=16","Education Et Motricité / Activités Physiques Adaptées"
"l en education et enseignement","universite de gafsa","institut supérieur des sciences sociale et de l'éducation de gafsa","Gafsa","FG+(AR+FR)/2","03 ans",127.675,116.21,"âge limite","Education Et Enseignement"
"l en urgence et réanimation","universite de gafsa","ecole superieure des sciences et techniques de la sante a gafsa","Gafsa","FG+SVT","03 ans",141.7001,130.005,"aucune","Urgence Et Réanimation"
"l en français","universite de gafsa","institut supérieur des études appliquées en humanité de tozeur","Tozeur","FG+F","03 ans",78.2035,84.3766,"aucune","Langue, Lettres Et Civilisation"
"l en education et enseignement","universite de gafsa","institut supérieur des études appliquées en humanité de tozeur","Tozeur","FG+(AR+FR)/2","03 ans",125.705,114.5,"âge limite","Education Et Enseignement"
